,GF
ZONE-08-02,892|119;914|108;938|102;968|99;987|99;1015|100;1037|105;1057|110;1076|122;892|119
ZONE-08-09,854|158;984|158;984|196;858|196;850|179;852|165;854|158
ZONE-08-101,898|195;1106|195;1098|209;1081|220;1050|234;1012|246;977|249;946|246;911|236;888|225;868|210;897|210;898|195
ZONE-07-02,227|121;246|114;265|108;282|104;304|101;327|101;348|102;366|107;387|112;408|122;227|121
ZONE-09-02,1517|122;1534|113;1558|105;1578|103;1596|101;1622|101;1640|102;1655|107;1675|113;1697|123;1517|122
ZONE-10-02,220|503;243|493;275|485;309|483;335|483;358|488;378|493;399|505;220|503
ZONE-11-02,873|503;894|493;916|487;942|484;968|483;990|484;1014|488;1034|496;1052|504;873|503
ZONE-12-02,1505|503;1521|495;1542|490;1571|485;1593|485;1616|484;1639|489;1661|494;1682|503;1505|503
ZONE-07-09,193|160;322|160;322|197;196|197;189|184;190|172;193|160
ZONE-09-09,1478|162;1608|162;1608|199;1483|199;1475|187;1474|176;1478|162
ZONE-10-09,180|543;310|543;310|580;184|580;177|567;177|556;180|543
ZONE-11-09,835|543;965|542;965|579;839|579;833|567;832|550;835|543
ZONE-12-09,1468|543;1596|543;1596|580;1470|580;1463|566;1463|553;1468|543
ZONE-07-96,322|162;363|162;363|197;444|197;432|217;415|228;396|237;375|243;349|251;325|251;293|250;265|245;245|238;224|228;208|216;240|216;240|198;323|198;322|162
ZONE-09-108,1521|199;1729|199;1716|218;1697|231;1671|241;1646|248;1623|253;1592|251;1559|248;1533|239;1509|227;1491|213;1521|213;1521|199
ZONE-10-113,224|582;433|582;425|592;415|602;403|611;390|619;374|625;349|629;322|634;297|634;275|632;252|630;239|623;214|613;200|600;192|594;223|592;224|582
ZONE-11-118,879|580;1087|580;1071|597;1048|614;1014|626;983|633;947|630;918|625;888|618;871|610;854|595;879|594;879|580
ZONE-12-125,1505|580;1717|580;1702|600;1681|615;1656|625;1620|633;1577|635;1538|627;1505|615;1479|594;1505|594;1505|580
